X1,Y,YC,X2_1,X2_2,X2_3,X2_4,X2_5,X2_6,MU0,MU1,S1,GT
1,300.0,1,8,36,2,1,5,7,200.0,400.0,1,200.0
1,820.0,1,12,50,1,2,4,15,720.0,920.0,1,200.0
0,190.0,0,1,53,1,2,3,3,90.0,290.0,1,200.0
0,85.0,0,5,21,1,1,3,3,-15.0,185.0,1,200.0
0,400.0,1,15,43,1,2,3,3,300.0,500.0,1,200.0
1,150.0,0,1,26,1,1,5,14,50.0,250.0,1,200.0
0,245.0,1,5,26,1,1,3,3,145.0,345.0,1,200.0
0,210.0,1,5,43,2,2,3,3,110.0,310.0,1,200.0
1,250.0,1,1,27,1,1,5,10,150.0,350.0,1,200.0
0,350.0,1,11,48,1,2,2,6,250.0,450.0,1,200.0
0,120.0,0,3,25,1,1,3,3,20.0,220.0,1,200.0
1,118.0,0,5,40,2,2,5,17,18.0,218.0,1,200.0
0,350.0,1,15,26,2,1,3,7,250.0,450.0,1,200.0
1,214.0,1,9,31,1,1,5,16,114.0,314.0,1,200.0
0,60.0,0,8,44,2,2,3,19,-40.0,160.0,1,200.0
1,98.0,0,1,28,2,1,4,17,-2.0,198.0,1,200.0
1,200.0,0,14,27,2,1,5,17,100.0,300.0,1,200.0
1,400.0,1,1,33,1,2,5,16,300.0,500.0,1,200.0
1,220.0,1,8,28,1,1,4,7,120.0,320.0,1,200.0
0,70.0,0,14,42,2,2,3,9,-30.0,170.0,1,200.0
1,30.0,0,3,20,2,1,5,17,-70.0,130.0,1,200.0
1,220.0,1,11,33,2,2,5,11,120.0,320.0,1,200.0
1,352.0,1,8,34,2,2,5,16,252.0,452.0,1,200.0
1,350.0,1,2,42,1,2,5,15,250.0,450.0,1,200.0
0,110.0,0,15,25,1,1,3,6,10.0,210.0,1,200.0
1,520.0,1,4,38,1,2,5,3,420.0,620.0,1,200.0
0,150.0,0,1,68,1,2,3,12,50.0,250.0,1,200.0
1,200.0,0,11,26,1,1,4,3,100.0,300.0,1,200.0
0,320.0,1,8,42,1,1,3,3,220.0,420.0,1,200.0
0,210.0,1,4,37,2,2,3,3,110.0,310.0,1,200.0
1,590.0,1,8,54,1,2,4,3,490.0,690.0,1,200.0
0,110.0,0,10,40,1,2,3,3,10.0,210.0,1,200.0
0,160.0,0,8,53,1,2,3,14,60.0,260.0,1,200.0
1,420.0,1,3,34,1,1,5,3,320.0,520.0,1,200.0
0,230.0,1,8,51,1,1,3,6,130.0,330.0,1,200.0
1,250.0,1,6,24,2,1,5,16,150.0,350.0,1,200.0
1,250.0,1,14,41,1,1,4,7,150.0,350.0,1,200.0
1,400.0,1,1,32,1,1,5,6,300.0,500.0,1,200.0
1,250.0,1,8,42,1,1,5,7,150.0,350.0,1,200.0
1,320.0,1,4,38,1,2,5,16,220.0,420.0,1,200.0
1,64.0,0,2,31,1,1,5,11,-36.0,164.0,1,200.0
0,50.0,0,8,54,1,3,3,16,-50.0,150.0,1,200.0
1,410.0,1,8,34,2,1,5,16,310.0,510.0,1,200.0
0,270.0,1,8,50,2,2,3,3,170.0,370.0,1,200.0
1,220.0,1,1,29,2,1,5,11,120.0,320.0,1,200.0
1,750.0,1,1,54,1,2,5,16,650.0,850.0,1,200.0
0,100.0,0,2,47,2,2,3,11,0.0,200.0,1,200.0
1,248.0,1,15,34,2,2,5,7,148.0,348.0,1,200.0
0,160.0,0,8,48,2,2,3,3,60.0,260.0,1,200.0
1,150.0,0,8,31,1,1,4,3,50.0,250.0,1,200.0
0,370.0,1,8,41,2,2,3,3,270.0,470.0,1,200.0
1,90.0,0,5,25,2,1,5,8,-10.0,190.0,1,200.0
0,300.0,1,13,57,1,2,3,6,200.0,400.0,1,200.0
0,200.0,0,13,37,1,2,3,7,100.0,300.0,1,200.0
0,195.0,0,1,29,1,1,3,3,95.0,295.0,1,200.0
1,300.0,1,8,38,1,2,5,3,200.0,400.0,1,200.0
1,230.0,1,8,40,1,2,4,6,130.0,330.0,1,200.0
0,210.0,1,11,53,2,2,3,17,110.0,310.0,1,200.0
1,230.0,1,1,28,1,1,5,9,130.0,330.0,1,200.0
0,200.0,0,1,59,1,2,3,8,100.0,300.0,1,200.0
1,200.0,0,4,30,2,1,4,17,100.0,300.0,1,200.0
0,180.0,0,13,52,2,3,2,9,80.0,280.0,1,200.0
1,168.0,0,7,29,2,2,4,3,68.0,268.0,1,200.0
1,200.0,0,1,32,1,1,5,16,100.0,300.0,1,200.0
1,320.0,1,8,43,2,2,5,16,220.0,420.0,1,200.0
1,245.0,1,11,27,1,1,5,3,145.0,345.0,1,200.0
0,250.0,1,7,40,2,2,3,9,150.0,350.0,1,200.0
1,220.0,1,2,31,1,1,5,14,120.0,320.0,1,200.0
0,120.0,0,9,64,2,2,2,19,20.0,220.0,1,200.0
0,240.0,1,9,35,1,1,3,3,140.0,340.0,1,200.0
0,250.0,1,11,32,1,2,3,3,150.0,350.0,1,200.0
0,80.0,0,14,17,1,1,3,3,-20.0,180.0,1,200.0
1,370.0,1,8,33,2,2,5,13,270.0,470.0,1,200.0
0,400.0,1,15,59,1,2,3,3,300.0,500.0,1,200.0
0,400.0,1,14,30,1,1,2,3,300.0,500.0,1,200.0
1,350.0,1,2,35,1,1,5,12,250.0,450.0,1,200.0
0,250.0,1,5,46,1,1,3,8,150.0,350.0,1,200.0
0,50.0,0,9,27,1,1,3,19,-50.0,150.0,1,200.0
1,280.0,1,8,48,1,2,5,4,180.0,380.0,1,200.0
1,280.0,1,13,25,1,1,5,11,180.0,380.0,1,200.0
0,270.0,1,3,34,1,2,3,19,170.0,370.0,1,200.0
1,650.0,1,6,44,1,2,5,15,550.0,750.0,1,200.0
1,500.0,1,8,50,1,2,5,3,400.0,600.0,1,200.0
1,150.0,0,13,27,1,1,5,11,50.0,250.0,1,200.0
1,352.0,1,8,35,2,2,5,16,252.0,452.0,1,200.0
1,400.0,1,1,37,1,2,5,11,300.0,500.0,1,200.0
1,250.0,1,8,58,1,2,5,3,150.0,350.0,1,200.0
1,1250.0,1,8,51,1,2,5,13,1150.0,1350.0,1,200.0
1,180.0,0,5,37,2,2,5,6,80.0,280.0,1,200.0
1,500.0,1,3,34,1,1,4,3,400.0,600.0,1,200.0
0,370.0,1,4,35,1,2,3,7,270.0,470.0,1,200.0
0,300.0,1,1,39,1,2,3,14,200.0,400.0,1,200.0
1,250.0,1,1,40,2,1,5,16,150.0,350.0,1,200.0
0,100.0,0,1,46,2,3,3,10,0.0,200.0,1,200.0
1,220.0,1,12,26,2,2,5,6,120.0,320.0,1,200.0
0,350.0,1,10,30,1,3,3,14,250.0,450.0,1,200.0
0,150.0,0,1,44,2,2,3,8,50.0,250.0,1,200.0
1,410.0,1,8,36,1,2,5,13,310.0,510.0,1,200.0
1,300.0,1,8,38,1,2,5,3,200.0,400.0,1,200.0
1,200.0,0,5,38,1,1,4,9,100.0,300.0,1,200.0
1,500.0,1,7,46,1,2,5,3,400.0,600.0,1,200.0
0,400.0,1,8,44,1,2,3,3,300.0,500.0,1,200.0
1,380.0,1,1,38,1,2,5,7,280.0,480.0,1,200.0
0,80.0,0,8,55,2,2,3,19,-20.0,180.0,1,200.0
1,330.0,1,1,43,1,2,5,13,230.0,430.0,1,200.0
0,270.0,1,19,58,1,2,3,19,170.0,370.0,1,200.0
1,150.0,0,8,30,2,1,5,11,50.0,250.0,1,200.0
0,170.0,0,1,55,2,2,3,7,70.0,270.0,1,200.0
1,370.0,1,8,33,2,2,5,13,270.0,470.0,1,200.0
0,180.0,0,5,21,2,1,3,3,80.0,280.0,1,200.0
1,300.0,1,1,40,2,1,4,11,200.0,400.0,1,200.0
1,180.0,0,1,25,2,1,4,11,80.0,280.0,1,200.0
1,270.0,1,8,45,1,2,4,3,170.0,370.0,1,200.0
0,250.0,1,8,51,1,2,3,6,150.0,350.0,1,200.0
1,480.0,1,1,40,2,2,5,3,380.0,580.0,1,200.0
1,360.0,1,1,49,2,2,5,9,260.0,460.0,1,200.0
1,240.0,1,11,36,2,2,5,8,140.0,340.0,1,200.0
1,350.0,1,5,43,1,2,5,15,250.0,450.0,1,200.0
1,300.0,1,12,68,1,2,4,16,200.0,400.0,1,200.0
0,300.0,1,1,43,1,2,3,8,200.0,400.0,1,200.0
1,500.0,1,8,54,1,2,4,8,400.0,600.0,1,200.0
1,190.0,0,1,46,1,2,5,6,90.0,290.0,1,200.0
0,200.0,0,1,44,1,2,3,6,100.0,300.0,1,200.0
1,220.0,1,1,32,1,1,5,18,120.0,320.0,1,200.0
0,218.0,1,12,37,1,2,3,8,118.0,318.0,1,200.0
1,80.0,0,8,60,2,2,4,19,-20.0,180.0,1,200.0
1,160.0,0,3,26,2,2,4,17,60.0,260.0,1,200.0
1,230.0,1,1,31,1,1,5,11,130.0,330.0,1,200.0
1,300.0,1,1,30,1,2,5,16,200.0,400.0,1,200.0
1,160.0,0,2,31,2,1,5,7,60.0,260.0,1,200.0
0,80.0,0,5,45,2,2,3,9,-20.0,180.0,1,200.0
0,27.0,0,14,73,2,3,1,15,-73.0,127.0,1,200.0
0,150.0,0,6,45,2,1,3,9,50.0,250.0,1,200.0
0,175.0,0,14,55,2,3,2,3,75.0,275.0,1,200.0
1,220.0,1,1,71,1,2,5,15,120.0,320.0,1,200.0
0,170.0,0,8,26,2,2,3,3,70.0,270.0,1,200.0
0,130.0,0,1,68,1,2,2,12,30.0,230.0,1,200.0
1,190.0,0,7,48,1,2,5,9,90.0,290.0,1,200.0
1,400.0,1,2,56,1,2,5,3,300.0,500.0,1,200.0
0,150.0,0,8,56,2,2,2,9,50.0,250.0,1,200.0
0,200.0,0,2,25,1,1,3,8,100.0,300.0,1,200.0
0,200.0,0,5,57,1,2,3,7,100.0,300.0,1,200.0
1,173.0,0,1,51,2,2,5,15,73.0,273.0,1,200.0
1,300.0,1,1,32,1,2,4,9,200.0,400.0,1,200.0
1,270.0,1,16,44,1,2,4,6,170.0,370.0,1,200.0
1,350.0,1,15,38,1,2,5,3,250.0,450.0,1,200.0
0,155.0,0,12,44,2,3,3,9,55.0,255.0,1,200.0
0,170.0,0,11,33,2,2,3,3,70.0,270.0,1,200.0
1,450.0,1,8,48,2,2,5,16,350.0,550.0,1,200.0
1,230.0,1,1,33,1,1,5,11,130.0,330.0,1,200.0
