X1,Y,YC,X2_1,X2_2,X2_3,X2_4,X2_5,X2_6,MU0,MU1,S1,GT
1,150.0,0,3,26,2,1,4,7,50.0,250.0,0,200.0
0,100.0,0,8,67,2,3,3,7,0.0,200.0,1,200.0
1,200.0,0,1,34,2,2,5,13,100.0,300.0,1,200.0
0,200.0,0,1,18,2,1,3,11,100.0,300.0,1,200.0
1,291.0,1,4,25,1,1,5,3,191.0,391.0,1,200.0
1,380.0,1,1,33,1,1,5,13,280.0,480.0,1,200.0
1,180.0,0,3,29,1,1,4,3,80.0,280.0,1,200.0
1,300.0,1,1,35,2,2,5,10,200.0,400.0,1,200.0
1,110.0,0,7,56,1,2,4,16,10.0,210.0,0,200.0
1,220.0,1,2,31,1,1,5,14,120.0,320.0,1,200.0
1,400.0,1,1,33,2,2,5,10,300.0,500.0,1,200.0
1,350.0,1,14,31,1,2,4,3,250.0,450.0,1,200.0
0,90.0,0,8,32,2,2,3,7,-10.0,190.0,0,200.0
1,400.0,1,1,44,2,3,5,6,300.0,500.0,1,200.0
0,400.0,1,8,42,1,2,3,7,300.0,500.0,1,200.0
1,200.0,0,8,59,1,2,4,6,100.0,300.0,0,200.0
1,300.0,1,14,36,1,2,4,3,200.0,400.0,1,200.0
1,410.0,1,8,36,1,2,5,13,310.0,510.0,1,200.0
0,200.0,0,14,39,2,3,3,3,100.0,300.0,1,200.0
0,300.0,1,2,57,1,2,3,8,200.0,400.0,0,200.0
0,240.0,1,9,35,1,1,3,3,140.0,340.0,1,200.0
0,270.0,1,8,50,2,2,3,3,170.0,370.0,1,200.0
0,80.0,0,9,24,2,1,3,7,-20.0,180.0,1,200.0
0,30.0,0,10,57,1,2,1,1,-70.0,130.0,1,200.0
0,100.0,0,1,59,1,2,2,6,0.0,200.0,1,200.0
0,300.0,1,10,48,1,2,3,3,200.0,400.0,1,200.0
0,120.0,0,8,24,1,1,3,3,20.0,220.0,1,200.0
0,590.0,1,6,42,1,2,3,3,490.0,690.0,1,200.0
1,110.0,0,8,36,1,2,5,14,10.0,210.0,1,200.0
1,200.0,0,1,27,2,1,5,13,100.0,300.0,1,200.0
0,170.0,0,1,25,2,1,3,7,70.0,270.0,1,200.0
1,230.0,1,15,28,1,1,5,3,130.0,330.0,1,200.0
0,200.0,0,10,55,1,2,3,8,100.0,300.0,1,200.0
0,100.0,0,3,47,2,2,2,3,0.0,200.0,1,200.0
0,300.0,1,12,45,2,2,2,11,200.0,400.0,1,200.0
0,235.0,1,8,62,1,2,2,3,135.0,335.0,1,200.0
0,500.0,1,6,53,1,1,3,14,400.0,600.0,1,200.0
1,300.0,1,2,52,1,2,4,5,200.0,400.0,1,200.0
1,200.0,0,1,35,1,1,4,13,100.0,300.0,1,200.0
0,245.0,1,5,26,1,1,3,3,145.0,345.0,1,200.0
1,200.0,0,8,53,1,2,5,12,100.0,300.0,1,200.0
1,750.0,1,1,54,1,2,5,16,650.0,850.0,1,200.0
1,100.0,0,8,36,1,2,5,7,0.0,200.0,1,200.0
1,700.0,1,8,41,2,2,5,3,600.0,800.0,1,200.0
1,250.0,1,8,35,1,2,5,14,150.0,350.0,1,200.0
0,320.0,1,8,42,1,1,3,3,220.0,420.0,1,200.0
0,180.0,0,13,28,1,3,3,7,80.0,280.0,1,200.0
1,200.0,0,10,29,2,2,5,3,100.0,300.0,1,200.0
1,200.0,0,15,22,2,1,4,13,100.0,300.0,1,200.0
1,400.0,1,12,53,2,2,4,11,300.0,500.0,1,200.0
1,80.0,0,14,25,2,1,4,15,-20.0,180.0,1,200.0
1,40.0,0,1,39,2,2,5,13,-60.0,140.0,0,200.0
1,370.0,1,1,31,1,1,5,7,270.0,470.0,1,200.0
0,50.0,0,2,41,2,2,2,3,-50.0,150.0,1,200.0
1,147.0,0,13,29,2,1,5,8,47.0,247.0,1,200.0
1,500.0,1,3,34,1,1,4,3,400.0,600.0,1,200.0
1,345.0,1,6,40,2,2,5,16,245.0,445.0,1,200.0
1,200.0,0,8,31,1,1,5,13,100.0,300.0,1,200.0
0,200.0,0,15,37,2,2,3,1,100.0,300.0,1,200.0
0,120.0,0,8,42,1,2,3,6,20.0,220.0,1,200.0
1,410.0,1,8,41,2,2,5,17,310.0,510.0,1,200.0
0,320.0,1,15,50,1,2,3,15,220.0,420.0,1,200.0
0,130.0,0,7,39,1,3,3,3,30.0,230.0,1,200.0
1,700.0,1,8,42,2,2,5,3,600.0,800.0,1,200.0
0,71.0,0,15,60,2,3,2,14,-29.0,171.0,1,200.0
1,400.0,1,2,56,1,2,5,3,300.0,500.0,1,200.0
1,250.0,1,2,27,1,1,4,17,150.0,350.0,1,200.0
0,280.0,1,1,45,1,2,3,8,180.0,380.0,1,200.0
0,500.0,1,10,42,1,2,3,15,400.0,600.0,1,200.0
1,230.0,1,8,40,1,2,4,6,130.0,330.0,1,200.0
0,400.0,1,10,43,1,2,3,8,300.0,500.0,1,200.0
0,200.0,0,1,32,1,1,3,14,100.0,300.0,1,200.0
0,120.0,0,8,42,1,2,3,6,20.0,220.0,1,200.0
0,230.0,1,2,38,1,2,3,3,130.0,330.0,1,200.0
1,250.0,1,8,42,1,1,5,7,150.0,350.0,1,200.0
1,350.0,1,8,30,2,1,5,3,250.0,450.0,1,200.0
1,410.0,1,8,36,2,1,5,16,310.0,510.0,1,200.0
1,200.0,0,1,32,1,1,5,7,100.0,300.0,1,200.0
0,190.0,0,8,55,2,2,3,16,90.0,290.0,1,200.0
0,300.0,1,8,26,1,2,3,3,200.0,400.0,1,200.0
0,250.0,1,8,34,1,2,3,6,150.0,350.0,1,200.0
1,500.0,1,8,46,1,2,5,6,400.0,600.0,1,200.0
1,173.0,0,1,51,2,2,5,15,73.0,273.0,1,200.0
1,290.0,1,10,41,1,2,5,11,190.0,390.0,1,200.0
0,330.0,1,2,19,2,1,3,7,230.0,430.0,1,200.0
0,200.0,0,15,35,2,2,3,3,100.0,300.0,1,200.0
0,140.0,0,13,46,1,2,3,14,40.0,240.0,0,200.0
1,500.0,1,3,29,1,2,4,3,400.0,600.0,1,200.0
0,400.0,1,8,32,1,2,3,8,300.0,500.0,1,200.0
0,35.0,0,3,39,2,3,3,3,-65.0,135.0,1,200.0
0,100.0,0,8,54,2,2,3,17,0.0,200.0,1,200.0
1,150.0,0,1,23,2,1,5,13,50.0,250.0,1,200.0
0,175.0,0,11,41,2,2,3,14,75.0,275.0,1,200.0
1,388.0,1,6,52,1,2,4,4,288.0,488.0,1,200.0
1,100.0,0,8,68,1,2,5,3,0.0,200.0,0,200.0
0,250.0,1,1,41,1,1,3,7,150.0,350.0,1,200.0
1,252.0,1,5,32,2,2,5,9,152.0,352.0,1,200.0
1,250.0,1,8,41,1,2,5,6,150.0,350.0,1,200.0
1,360.0,1,1,42,2,2,4,8,260.0,460.0,1,200.0
1,100.0,0,14,40,1,2,5,16,0.0,200.0,0,200.0
1,200.0,0,14,26,2,1,5,7,100.0,300.0,1,200.0
0,70.0,0,12,57,2,3,2,9,-30.0,170.0,1,200.0
1,90.0,0,1,29,2,1,5,18,-10.0,190.0,1,200.0
0,180.0,0,8,39,1,1,3,7,80.0,280.0,1,200.0
1,450.0,1,1,43,1,2,5,3,350.0,550.0,1,200.0
1,225.0,1,1,39,1,2,5,15,125.0,325.0,1,200.0
0,230.0,1,1,26,2,1,3,14,130.0,330.0,1,200.0
1,200.0,0,1,29,2,1,5,14,100.0,300.0,1,200.0
0,120.0,0,8,46,2,2,3,7,20.0,220.0,1,200.0
0,300.0,1,10,20,1,1,3,15,200.0,400.0,1,200.0
0,250.0,1,8,37,2,1,3,7,150.0,350.0,1,200.0
1,230.0,1,1,28,1,1,5,9,130.0,330.0,1,200.0
1,61.0,0,1,24,1,1,4,17,-39.0,161.0,0,200.0
0,44.0,0,12,36,2,2,3,17,-56.0,144.0,1,200.0
0,100.0,0,5,40,1,2,3,8,0.0,200.0,0,200.0
0,160.0,0,8,62,1,2,3,6,60.0,260.0,1,200.0
0,40.0,0,4,65,1,2,2,6,-60.0,140.0,0,200.0
0,100.0,0,8,46,2,2,2,8,0.0,200.0,1,200.0
0,180.0,0,3,48,2,2,3,3,80.0,280.0,1,200.0
1,128.0,0,1,28,2,1,5,18,28.0,228.0,1,200.0
