X1,Y,YC,X2_1,X2_2,X2_3,X2_4,X2_5,X2_6,MU0,MU1,S1,GT
0,99.0,0,1,38,1,2,3,3,-1.0,199.0,0,200.0
0,260.0,1,8,35,1,2,3,7,160.0,360.0,0,200.0
0,150.0,0,14,22,2,1,2,9,50.0,250.0,0,200.0
1,420.0,1,3,37,1,2,5,3,320.0,520.0,0,200.0
1,100.0,0,8,43,1,2,5,19,0.0,200.0,0,200.0
1,150.0,0,1,27,1,1,5,14,50.0,250.0,0,200.0
0,100.0,0,3,53,2,2,3,9,0.0,200.0,0,200.0
0,100.0,0,5,40,1,2,3,8,0.0,200.0,0,200.0
0,90.0,0,8,32,2,2,3,7,-10.0,190.0,0,200.0
0,100.0,0,8,52,1,2,3,16,0.0,200.0,0,200.0
0,30.0,0,1,36,2,2,2,3,-70.0,130.0,0,200.0
0,120.0,0,8,46,2,2,3,7,20.0,220.0,0,200.0
1,190.0,0,2,26,1,1,5,15,90.0,290.0,0,200.0
1,50.0,0,16,36,1,1,5,12,-50.0,150.0,0,200.0
0,160.0,0,1,23,2,1,3,3,60.0,260.0,0,200.0
0,27.0,0,15,84,2,3,2,15,-73.0,127.0,0,200.0
0,40.0,0,1,56,2,2,2,3,-60.0,140.0,0,200.0
1,140.0,0,6,44,2,1,5,9,40.0,240.0,0,200.0
1,230.0,1,8,49,1,2,4,6,130.0,330.0,0,200.0
1,180.0,0,9,22,2,1,4,15,80.0,280.0,0,200.0
0,50.0,0,1,50,2,2,3,7,-50.0,150.0,0,200.0
1,40.0,0,1,39,2,2,5,13,-60.0,140.0,0,200.0
1,300.0,1,10,65,1,2,5,11,200.0,400.0,0,200.0
1,100.0,0,14,37,2,3,5,17,0.0,200.0,0,200.0
0,300.0,1,11,28,1,1,2,3,200.0,400.0,0,200.0
0,100.0,0,1,46,2,2,3,14,0.0,200.0,0,200.0
1,170.0,0,11,29,2,1,4,3,70.0,270.0,0,200.0
0,60.0,0,2,59,1,3,2,16,-40.0,160.0,0,200.0
1,86.0,0,5,35,2,1,4,14,-14.0,186.0,0,200.0
0,240.0,1,10,54,1,2,3,3,140.0,340.0,0,200.0
1,100.0,0,1,63,1,2,5,13,0.0,200.0,0,200.0
0,200.0,0,5,40,1,2,3,14,100.0,300.0,0,200.0
0,95.0,0,7,38,2,2,3,7,-5.0,195.0,0,200.0
0,40.0,0,4,65,1,2,2,6,-60.0,140.0,0,200.0
1,61.0,0,1,24,1,1,4,17,-39.0,161.0,0,200.0
1,90.0,0,3,29,1,1,4,19,-10.0,190.0,0,200.0
