X1,Y,YC,X2_1,X2_2,X2_3,X2_4,X2_5,X2_6,X2_7,MU0,MU1,S1,GT
0,164.39999389648438,1,2015,1,55,1,3,2,17,64.39999389648438,264.3999938964844,1,200.0
0,157.6666717529297,0,2005,11,42,2,2,2,3,57.66667175292969,257.6666717529297,1,200.0
1,317.0,1,2005,1,47,1,2,5,6,217.0,417.0,1,200.0
1,317.0,1,2010,1,42,1,2,4,7,217.0,417.0,1,200.0
1,157.6666717529297,0,2005,8,29,2,2,5,16,57.66667175292969,257.6666717529297,1,200.0
0,153.1999969482422,0,2020,5,66,2,2,3,3,53.19999694824219,253.1999969482422,1,200.0
1,300.75,1,2020,2,37,1,1,5,11,200.75,400.75,1,200.0
1,157.6666717529297,0,2020,1,31,1,1,5,13,57.66667175292969,257.6666717529297,1,200.0
1,317.5,1,2010,7,40,1,2,4,11,217.5,417.5,1,200.0
1,157.6666717529297,0,2010,8,28,2,1,5,3,57.66667175292969,257.6666717529297,1,200.0
0,157.6666717529297,0,2010,1,40,1,2,2,3,57.66667175292969,257.6666717529297,1,200.0
0,157.6666717529297,0,2010,15,41,2,2,3,16,57.66667175292969,257.6666717529297,1,200.0
1,157.6666717529297,0,2010,1,36,2,2,5,13,57.66667175292969,257.6666717529297,1,200.0
1,60.0,0,2005,1,26,1,1,5,10,-40.0,160.0,1,200.0
1,157.6666717529297,0,2005,1,42,2,2,5,17,57.66667175292969,257.6666717529297,1,200.0
1,177.5,1,2010,8,45,1,1,4,6,77.5,277.5,1,200.0
0,157.6666717529297,0,2005,8,40,1,2,3,7,57.66667175292969,257.6666717529297,1,200.0
0,253.3333282470703,1,2000,9,33,1,2,3,15,153.3333282470703,353.3333282470703,1,200.0
1,60.0,0,2000,15,31,1,2,5,3,-40.0,160.0,1,200.0
0,162.3333282470703,1,2000,15,50,1,2,2,6,62.33332824707031,262.3333282470703,1,200.0
1,157.6666717529297,0,2020,9,24,1,1,4,15,57.66667175292969,257.6666717529297,1,200.0
0,153.1999969482422,0,2005,10,60,2,3,2,17,53.19999694824219,253.1999969482422,1,200.0
0,157.6666717529297,0,2010,1,31,2,1,3,9,57.66667175292969,257.6666717529297,1,200.0
1,396.6666564941406,1,2000,8,34,1,2,5,7,296.6666564941406,496.6666564941406,1,200.0
1,157.6666717529297,0,2015,1,35,1,1,5,3,57.66667175292969,257.6666717529297,1,200.0
0,283.75,1,2010,3,50,2,2,3,3,183.75,383.75,1,200.0
0,134.3333282470703,0,2010,1,28,1,1,3,7,34.33332824707031,234.3333282470703,1,200.0
0,60.0,0,2005,1,23,2,1,3,9,-40.0,160.0,1,200.0
1,424.3999938964844,1,2020,8,50,1,2,5,3,324.3999938964844,524.3999938964844,1,200.0
0,157.6666717529297,0,2010,8,36,2,2,3,3,57.66667175292969,257.6666717529297,1,200.0
1,52.33333206176758,0,2000,1,35,1,1,5,14,-47.66666793823242,152.33333206176758,1,200.0
0,191.0,1,2000,5,35,1,2,3,7,91.0,291.0,1,200.0
1,355.0,1,2010,5,45,1,2,5,6,255.0,455.0,1,200.0
0,157.6666717529297,0,2010,15,40,2,3,3,8,57.66667175292969,257.6666717529297,1,200.0
1,177.5,1,2015,11,47,1,2,5,1,77.5,277.5,1,200.0
1,157.6666717529297,0,2010,1,39,1,2,5,16,57.66667175292969,257.6666717529297,1,200.0
1,182.5,1,2020,15,25,1,1,4,3,82.5,282.5,1,200.0
0,177.5,1,2015,8,50,2,2,3,3,77.5,277.5,1,200.0
1,157.6666717529297,0,2010,1,36,1,2,4,7,57.66667175292969,257.6666717529297,1,200.0
0,355.0,1,2010,5,50,1,2,3,9,255.0,455.0,1,200.0
0,110.0,0,2010,8,47,2,2,3,20,10.0,210.0,1,200.0
1,157.6666717529297,0,2015,8,35,1,2,5,15,57.66667175292969,257.6666717529297,1,200.0
1,157.6666717529297,0,2020,11,29,2,2,4,11,57.66667175292969,257.6666717529297,1,200.0
1,117.0,0,2010,14,55,1,1,5,19,17.0,217.0,1,200.0
0,177.5,1,2005,8,46,2,2,2,3,77.5,277.5,1,200.0
1,60.0,0,2000,2,25,2,1,5,7,-40.0,160.0,1,200.0
1,177.5,1,2010,13,49,2,2,5,16,77.5,277.5,1,200.0
1,157.6666717529297,0,2020,15,29,2,1,5,17,57.66667175292969,257.6666717529297,1,200.0
1,317.0,1,2005,1,46,1,2,5,7,217.0,417.0,1,200.0
1,157.6666717529297,0,2020,2,32,2,1,5,13,57.66667175292969,257.6666717529297,1,200.0
