X1,Y,YC,X2_1,X2_2,X2_3,X2_4,X2_5,X2_6,X2_7,MU0,MU1,S1,GT
1,300.75,1,2020,1,39,1,2,5,9,200.75,400.75,1,200.0
0,157.6666717529297,0,2010,14,36,2,1,3,3,57.66667175292969,257.6666717529297,0,200.0
1,157.6666717529297,0,2010,8,40,1,1,5,18,57.66667175292969,257.6666717529297,1,200.0
1,164.39999389648438,1,2005,8,54,1,2,5,17,64.39999389648438,264.3999938964844,0,200.0
0,157.6666717529297,0,2010,12,39,1,1,3,16,57.66667175292969,257.6666717529297,1,200.0
1,157.6666717529297,0,2010,8,31,1,2,4,16,57.66667175292969,257.6666717529297,1,200.0
0,153.1999969482422,0,2020,14,62,2,2,2,1,53.19999694824219,253.1999969482422,1,200.0
1,157.6666717529297,0,2010,8,34,2,2,5,16,57.66667175292969,257.6666717529297,1,200.0
1,90.0,0,2000,13,24,1,1,4,7,-10.0,190.0,1,200.0
1,220.0,1,2000,14,28,1,2,4,15,120.0,320.0,1,200.0
1,197.5,1,2020,8,37,1,2,5,8,97.5,297.5,1,200.0
1,145.75,0,2010,7,44,2,2,5,16,45.75,245.75,1,200.0
0,60.0,0,2000,6,24,1,1,3,7,-40.0,160.0,1,200.0
0,153.1999969482422,0,2015,8,65,2,3,2,14,53.19999694824219,253.1999969482422,1,200.0
1,177.5,1,2015,14,45,1,1,5,16,77.5,277.5,1,200.0
1,251.25,1,2020,1,38,1,2,5,19,151.25,351.25,0,200.0
0,153.1999969482422,0,2010,13,77,2,3,1,15,53.19999694824219,253.1999969482422,0,200.0
0,100.0,0,2005,11,31,1,1,3,7,0.0,200.0,1,200.0
0,65.0,0,2010,13,16,1,1,3,1,-35.0,165.0,1,200.0
0,153.1999969482422,0,2015,8,60,1,2,3,14,53.19999694824219,253.1999969482422,0,200.0
1,177.5,1,2020,7,45,2,2,5,9,77.5,277.5,1,200.0
1,60.0,0,2010,8,21,2,1,5,18,-40.0,160.0,1,200.0
1,157.6666717529297,0,2020,8,26,1,1,5,9,57.66667175292969,257.6666717529297,1,200.0
0,65.0,0,2000,15,24,1,1,3,3,-35.0,165.0,1,200.0
1,157.6666717529297,0,2020,1,25,1,1,5,13,57.66667175292969,257.6666717529297,0,200.0
1,176.6666717529297,1,2000,11,36,1,2,4,3,76.66667175292969,276.6666717529297,1,200.0
0,164.39999389648438,1,2020,1,57,1,2,2,19,64.39999389648438,264.3999938964844,1,200.0
