pid,year,p_region,p_age,p_sex,p_married,p_edu,Ind
101,2008.1213,2.1334765,20.190847,0.4408255,0.84452224,1.6598842,4.0982227
102,2016.4728,4.5911303,42.2636,0.82512873,1.7836448,3.3004754,7.983801
201,2020.6484,5.8199234,53.29981,1.0174453,2.2532616,4.120755,9.926632
202,2016.4728,4.5911336,42.263615,0.82510483,1.7836336,3.3004646,7.983797
203,2008.1213,2.133473,20.190777,0.44084102,0.8445257,1.6598752,4.098216
301,2003.9668,0.7890998,9.951321,0.24074078,0.4012804,0.8859598,2.054792
401,2020.6484,5.8199296,53.299816,1.0174472,2.2532458,4.1207495,9.926626
501,2003.9668,0.7890934,9.951306,0.24074006,0.40127736,0.8859631,2.054785
602,2016.4728,4.591109,42.263634,0.82512945,1.7836341,3.300467,7.9837995
701,2003.9668,0.7890935,9.951313,0.24073768,0.40127218,0.88595986,2.0547876
801,2008.1213,2.1334655,20.190771,0.4408249,0.84449756,1.6598744,4.098216
902,2016.4728,4.59113,42.263615,0.82510495,1.78361,3.300467,7.9837894
903,2003.9668,0.7890955,9.951336,0.24074382,0.40128547,0.8859618,2.0547953
1001,2008.1213,2.133463,20.19075,0.4408283,0.844501,1.6598713,4.0981994
1101,2016.4728,4.5911193,42.263622,0.8251056,1.7836493,3.300467,7.9838004
1102,2012.297,3.3622787,31.227173,0.63290465,1.3140464,2.4801726,6.040973
1201,2016.4728,4.591147,42.26358,0.82511854,1.783655,3.3004663,7.9837933
1202,2003.9668,0.78909266,9.951302,0.2407425,0.40127093,0.885962,2.0547833
1203,2008.1213,2.1334815,20.190836,0.44083697,0.844524,1.6598845,4.098221
1303,2003.9668,0.7890997,9.951315,0.24073744,0.40127933,0.8859597,2.0547936
1403,2020.6484,5.8199344,53.299824,1.0174336,2.2532506,4.1207533,9.926634
1404,2003.9668,0.78909194,9.951308,0.24074227,0.40127766,0.8859676,2.0547817
1502,2008.1213,2.1334696,20.190788,0.44082457,0.84451807,1.6598706,4.098217
1503,2008.1213,2.133477,20.190783,0.44083813,0.84452975,1.6598735,4.0982213
1601,2008.1213,2.13347,20.190765,0.44083166,0.8445153,1.6598728,4.098219
1801,2008.1213,2.1334782,20.190777,0.440829,0.84451747,1.6598754,4.098215
1802,2008.1213,2.1334739,20.190767,0.44083357,0.84451723,1.659872,4.0982237
1803,2012.297,3.3622603,31.227198,0.632916,1.3140602,2.4801664,6.0409684
1804,2012.297,3.3622668,31.227198,0.63290817,1.3140552,2.480163,6.0409727
1805,2003.9668,0.78908956,9.951311,0.2407394,0.4012767,0.88596547,2.054784
2001,2016.4728,4.5911264,42.263603,0.82511246,1.7836565,3.300468,7.983794
2002,2012.297,3.362265,31.22719,0.63290673,1.31404,2.4801679,6.0409784
2003,2008.1213,2.1334732,20.190765,0.44081956,0.8445151,1.6598766,4.0982184
2004,2003.9668,0.7890837,9.951289,0.2407391,0.40126717,0.88595665,2.054778
2102,2003.9668,0.78909147,9.951312,0.24073723,0.40127492,0.8859625,2.0547895
2201,2012.297,3.362266,31.227194,0.6329077,1.3140552,2.4801693,6.04097
