pid,mean_wage
101,49.5
102,259.5
201,119.80000305175781
202,79.0
203,70.0
301,130.0
401,392.0
501,180.0
602,24.25
701,15.0
801,173.5
902,300.0
903,69.0
1001,40.0
1101,79.5
1102,110.0
1201,152.5
1202,200.0
1203,240.0
1303,30.0
1403,289.3999938964844
1404,70.0
1502,90.0
1503,225.0
1601,64.5
1801,52.0
1802,125.0
1803,216.6666717529297
1804,116.66666412353516
1805,120.0
2001,237.5
2002,150.0
2003,84.0
2004,140.0
2102,70.0
2201,107.33333587646484
2202,150.0
2203,91.0
2702,35.0
2703,200.0
2901,12.0
3101,120.0
3103,135.0
3204,121.66666412353516
3206,148.0
3301,160.0
3302,137.5
3303,170.0
3304,200.0
3402,210.0
3403,176.6666717529297
3404,80.0
3501,135.0
3601,435.0
3701,85.0
3702,150.0
3801,90.0
3803,156.25
3804,100.0
3901,100.0
3902,170.0
4001,221.5
4003,540.0
4004,100.0
4005,180.0
4101,132.5
4102,91.66666412353516
4103,120.0
4104,175.0
4203,80.0
4204,366.6666564941406
4205,400.0
4401,150.0
4402,114.0
4404,250.0
4701,650.0
4903,226.6666717529297
5002,405.0
5003,296.0
5101,166.6666717529297
5103,171.0
5104,48.0
5105,106.66666412353516
5201,145.0
5403,220.0
5404,100.0
5602,120.0
5802,180.0
5901,119.0
6001,100.0
6002,60.0
6101,70.0
6102,60.0
6103,150.0
6104,92.5
6303,150.0
6403,140.0
6503,70.0
6603,375.0
6702,12.0
6703,80.0
6803,75.0
6804,195.8000030517578
7201,100.0
7202,100.0
7203,250.0
7204,258.0
7205,250.0
7301,112.5
7302,45.0
7303,155.0
7304,200.0
7501,180.0
7502,172.5
7601,82.66666412353516
7602,130.0
7603,92.75
7701,200.0
7803,150.0
7901,500.0
7903,661.5
7904,363.75
7905,250.0
8001,123.33333587646484
8002,140.0
8003,200.0
8004,250.0
8201,286.6666564941406
8204,200.0
8303,97.0
8501,86.25
8503,107.5
8504,58.0
8603,406.6666564941406
8604,220.0
8605,187.5
8701,225.0
8801,175.0
8802,126.66666412353516
8803,185.0
8804,230.0
9003,130.0
9004,65.0
9101,100.0
9103,414.25
9104,295.0
9105,132.5
9202,215.0
9203,130.0
9301,138.0
9302,60.0
9303,145.0
9401,116.66666412353516
9402,100.0
9404,105.0
9503,28.0
9701,350.0
9801,130.0
9802,107.5
9803,160.0
9804,350.0
9902,97.0
10001,273.3333435058594
10002,126.66666412353516
10101,312.5
10102,100.0
10105,55.0
10201,195.0
10202,235.0
10301,70.0
10302,66.66666412353516
10303,120.0
10304,50.0
10403,200.0
10404,664.0
10504,120.0
10601,185.0
10603,157.0
10604,119.33333587646484
10605,50.0
10705,60.0
10803,237.5
10902,57.5
10903,200.0
10904,150.0
11103,80.0
11104,200.0
11204,125.0
11205,170.0
11206,217.5
11304,300.0
11401,144.5
11501,120.0
11504,190.0
11604,500.0
11803,251.5
11901,123.33333587646484
11902,60.0
12001,186.6666717529297
12002,75.0
12003,150.0
12303,200.0
12304,155.0
12501,360.0
12502,510.0
12601,200.0
12603,200.0
12604,253.3333282470703
12803,325.0
12804,157.5
12901,120.0
13001,30.0
13002,90.0
13004,150.0
13101,100.0
13102,136.6666717529297
13103,207.0
13104,150.0
13203,139.0
13204,52.0
13301,102.0
13303,101.0
13304,220.0
13401,175.0
13403,250.0
13404,30.0
13501,65.0
13502,470.0
13601,371.3333435058594
13602,267.0
13603,86.0
13604,337.0
13702,135.0
13703,240.0
13704,120.0
13902,153.3333282470703
13903,215.0
13904,250.0
14001,110.0
14002,53.0
14101,130.0
14102,173.3333282470703
14103,100.0
14202,267.0
14203,343.0
14301,218.0
14401,100.0
14403,60.0
14501,191.5
14502,50.0
14503,170.0
14504,130.0
14604,200.0
14701,130.0
14809,138.3333282470703
14901,300.0
14902,117.0
14903,235.0
14904,230.0
15003,102.0
15004,141.5
15101,230.0
15201,85.0
15301,348.0
15303,75.0
15402,50.0
15501,125.0
15502,154.0
15504,200.0
15601,351.5
15602,290.0
15701,190.0
15702,63.33333206176758
15703,176.6666717529297
15705,175.1999969482422
15706,250.0
15803,100.0
16001,100.0
16101,120.0
16104,100.0
16105,90.0
16301,550.0
16303,130.0
16304,10.0
16401,295.0
16402,60.0
16403,315.0
16404,300.0
16502,130.0
16504,87.5
16603,279.0
16604,100.0
16703,400.0
16801,250.0
16803,220.0
16804,120.0
16805,300.0
17002,126.0
17004,200.0
17102,228.0
17201,100.0
17202,60.0
17204,200.0
17302,156.6666717529297
17303,220.0
17304,300.0
17402,97.25
17403,184.5
17501,150.0
17502,190.0
17503,700.0
17504,250.0
17601,102.5
17603,55.0
17604,140.0
17701,180.0
17704,80.0
17901,100.0
17902,55.0
17903,95.0
17904,80.0
17905,65.0
17908,90.0
17909,120.0
18102,97.5
18201,200.0
18202,90.0
18203,90.0
18303,306.6666564941406
18403,68.0
18501,75.0
18601,102.33333587646484
18602,25.0
18604,130.0
18605,60.0
18701,150.0
18702,240.0
18703,100.0
18704,300.0
18801,153.3333282470703
18806,30.0
18901,298.3333435058594
18902,256.6666564941406
18903,410.0
19001,15.0
19002,110.0
19101,118.25
19102,80.0
19104,37.5
19105,483.3333435058594
19202,70.0
19203,24.0
19301,85.0
19303,130.0
19401,326.0
19402,62.0
19605,125.0
19606,313.3333435058594
19702,81.0
19801,110.0
19802,125.0
20001,116.66666412353516
20002,61.5
20003,130.0
20004,130.0
20101,106.0
20102,100.0
20103,80.0
20201,85.0
20203,218.0
20204,161.0
20205,200.0
20301,397.5
20302,190.0
20403,210.0
20601,165.6666717529297
20602,80.0
20603,225.0
20604,248.0
20605,159.0
20701,208.0
20702,50.0
20803,100.0
20804,100.0
21002,149.0
21003,267.0
21202,95.0
21203,700.0
21204,123.33333587646484
21401,189.75
21402,155.0
21501,150.0
21602,83.33333587646484
21603,176.6666717529297
21604,160.0
21901,134.3333282470703
21902,120.0
21903,185.0
22001,180.0
22003,235.0
22004,273.3333435058594
22101,120.0
22102,120.0
22103,500.0
22201,30.0
22202,62.66666793823242
22203,150.0
22501,120.0
22503,85.0
22601,200.0
22701,64.0
22703,500.6666564941406
22901,517.5
22902,212.5
23201,400.0
23203,180.0
23401,100.0
23502,194.5
23602,120.0
23701,65.0
23702,55.0
23703,210.0
23705,208.0
23901,194.25
23902,155.0
24101,163.0
24102,138.75
24301,160.0
24401,175.0
24402,125.0
24403,200.0
24404,60.0
24601,15.0
24704,225.0
24705,134.0
24801,261.25
24802,208.39999389648438
24902,30.0
24903,200.0
24904,150.0
24905,175.0
25002,48.0
25003,389.0
25102,113.25
25103,145.0
25201,460.0
25202,210.0
25204,101.0
25302,135.0
25602,391.6666564941406
25603,80.0
25604,450.0
25701,130.0
25703,226.6666717529297
25803,120.0
25901,175.5
26001,75.0
26004,552.5
26101,172.0
26102,112.0
26103,302.0
26104,193.3333282470703
26105,183.3333282470703
26106,110.0
26401,334.0
26501,192.5
26502,66.5
26503,330.0
26601,490.0
26602,10.0
26604,200.0
26702,156.3333282470703
26703,174.5
26801,96.0
26903,38.0
27001,168.6666717529297
27003,207.5
27101,80.0
27201,183.1999969482422
27202,72.5
27203,136.3333282470703
27204,190.0
27301,140.0
27302,120.0
27306,130.0
27503,122.5
27504,233.3333282470703
27602,91.0
27604,128.0
27701,100.0
27702,27.0
27703,120.0
27704,150.0
27801,200.0
27802,124.5
27804,168.0
27805,72.0
27901,183.0
27902,261.0
28003,316.0
28004,100.0
28101,90.0
28102,110.0
28201,101.0
28202,72.0
28203,211.25
28303,150.0
28305,230.0
28403,158.0
28601,150.0
28602,111.25
28603,137.5
28701,441.5
28801,450.0
28901,70.0
29001,20.0
29101,222.5
29103,200.0
29104,265.0
29202,175.0
29203,173.0
29501,437.0
29601,500.0
29604,80.0
29605,236.6666717529297
29606,260.0
29703,189.0
29704,218.75
29802,125.0
30003,283.3333435058594
30103,140.0
30302,320.0
30403,150.0
30501,412.5
30502,185.5
30601,175.0
30701,162.5
30702,76.0
30703,110.0
30704,170.0
30802,233.75
30803,50.0
30901,152.0
30902,30.0
30903,226.6666717529297
30904,250.0
31001,100.0
31002,106.66666412353516
31302,158.75
31304,49.0
31305,215.0
31306,250.0
31401,100.66666412353516
31602,75.0
31603,212.5
31701,60.0
31902,73.0
31903,200.0
32002,30.0
32003,300.0
32102,135.0
32201,94.0
32202,100.0
32204,84.0
32301,178.0
32302,100.0
32402,136.6666717529297
32403,150.0
32404,85.0
32602,296.0
32603,100.0
32604,30.0
32702,175.0
32703,62.5
32801,202.0
32802,218.0
32803,110.0
32804,225.0
32805,200.0
33001,145.0
33002,140.75
33003,119.0
33004,140.0
33103,105.0
33104,400.0
33105,163.3333282470703
33201,130.0
33202,110.66666412353516
33204,148.5
33302,100.0
33401,135.0
33402,100.0
33403,110.0
33404,110.0
33604,90.0
33605,90.0
33606,120.0
33607,270.0
33609,200.0
33610,150.0
33701,144.0
33702,86.66666412353516
33704,160.0
33801,115.0
34001,42.0
34002,90.0
34003,290.5
34101,40.0
34102,20.0
34201,185.0
34301,183.3333282470703
34303,90.0
34401,120.0
34402,130.0
34602,100.0
34701,250.0
34702,10.0
34803,180.0
34901,250.0
34904,130.0
35201,152.0
35301,117.5
35304,245.5
35401,93.0
35403,188.75
35502,180.0
35503,70.0
35603,130.0
35701,11.0
36002,150.0
36101,30.0
36102,70.0
36103,203.25
36104,80.0
36201,273.3333435058594
36202,280.0
36306,330.0
36501,106.33333587646484
36502,67.5
36504,300.0
36505,280.0
36601,27.0
36602,40.0
36603,140.0
36604,130.0
36704,130.0
36802,100.0
36901,220.0
37003,250.0
37006,290.0
37101,153.0
37102,153.3333282470703
37103,150.0
37105,170.0
37203,225.0
37204,85.0
37205,242.5
37303,160.0
37304,132.3333282470703
37401,98.33333587646484
37402,120.0
37403,80.0
37502,355.0
37601,120.0
37602,123.33333587646484
37603,135.0
37604,200.0
37701,150.0
37702,132.0
37704,330.0
37705,513.3333129882812
38001,40.0
38102,27.0
38103,200.0
38104,245.0
38105,503.5
38201,100.0
38202,80.0
38203,100.0
38401,106.0
38402,39.66666793823242
38403,265.0
38404,130.0
38405,475.0
38501,115.0
38502,90.0
38505,120.0
38601,150.0
38602,110.0
38802,120.0
39003,350.0
39101,110.0
39203,150.0
39204,300.0
39301,178.0
39302,115.0
39305,180.0
39307,150.0
39401,95.0
39402,80.0
39403,200.0
39404,130.0
39405,136.6666717529297
39503,277.3333435058594
39701,229.0
39801,80.0
39901,102.5
39903,312.5
39904,70.0
40004,500.0
40101,137.5
40102,127.5
40103,120.0
40104,140.0
40105,80.0
40201,116.66666412353516
40202,110.0
40203,112.5
40204,140.0
40301,460.5
40303,200.0
40401,186.6666717529297
40402,75.0
40403,283.3333435058594
40702,100.0
40801,90.0
40802,50.0
40803,150.0
40904,130.0
41001,220.0
41006,230.0
41101,313.3333435058594
41103,220.0
41202,122.0
41203,120.0
41401,180.0
41403,150.0
41404,265.0
41501,506.25
41502,320.6000061035156
41601,160.0
41602,155.0
41701,120.0
41801,224.0
41802,110.0
41804,170.0
42001,165.0
42002,120.0
42003,215.0
42101,325.0
42103,120.0
42201,111.0
42202,171.25
42203,173.3333282470703
42301,356.6666564941406
42303,425.0
42304,200.0
42401,335.0
42601,240.0
42602,100.0
42701,400.0
42704,250.0
42705,130.0
42803,130.0
42904,401.5
43002,150.0
43003,100.0
43203,438.0
43204,100.0
43301,150.0
43302,84.0
43303,140.0
43401,220.0
43402,160.0
