year,p_region,p_age,p_sex,p_married,p_edu,Ind,p_wage,pid
2000,1,59,2,2,2,3,79,101
2010,11,69,2,3,2,1,20,101
2000,1,32,1,1,3,4,98,102
2010,8,42,1,3,3,4,280,102
2015,8,47,1,3,3,4,280,102
2020,8,52,1,3,3,4,380,102
2000,1,49,1,2,3,2,190,201
2005,1,54,1,3,3,19,70,201
2010,1,59,1,3,3,14,80,201
2015,1,64,1,3,3,14,109,201
2020,1,69,1,3,3,14,150,201
2005,1,51,2,3,3,12,55,202
2010,1,56,2,3,3,12,52,202
2015,1,61,2,3,3,12,89,202
2020,1,66,2,3,3,12,120,202
2005,1,26,2,1,4,7,70,203
2010,1,31,2,1,4,7,70,203
2000,1,38,2,1,3,7,130,301
2000,1,30,1,2,5,10,240,401
2005,1,35,1,2,5,10,320,401
2010,1,40,1,2,5,10,400,401
2015,1,45,1,2,5,10,500,401
2020,1,50,1,2,5,10,500,401
2005,1,31,2,1,4,17,180,501
2000,1,65,2,2,2,9,30,602
2010,1,75,2,3,2,15,20,602
2015,1,80,2,3,2,15,20,602
2020,1,85,2,3,2,15,27,602
2000,1,76,2,3,1,15,15,701
2000,1,28,1,1,4,7,137,801
2010,1,38,1,2,4,17,210,801
2000,1,30,2,2,5,16,100,902
2005,1,35,2,2,5,16,250,902
2010,1,40,2,2,5,16,300,902
2015,1,45,2,2,5,16,550,902
2000,1,28,2,1,5,7,69,903
2000,1,46,2,3,1,20,30,1001
2010,1,56,2,3,1,20,50,1001
2000,1,43,1,2,2,6,58,1101
2005,1,48,1,2,2,12,60,1101
2010,1,53,1,2,2,12,100,1101
2020,1,63,1,2,2,12,100,1101
2005,1,56,2,2,2,9,100,1102
2010,1,61,2,2,2,9,100,1102
2020,1,71,2,2,2,9,130,1102
2000,1,24,2,1,4,7,60,1201
2005,1,29,2,2,5,7,150,1201
2015,8,39,2,2,5,17,200,1201
2020,8,44,2,2,5,17,200,1201
2005,1,24,2,1,4,17,200,1202
2005,1,35,1,2,5,3,230,1203
2020,8,50,1,2,5,7,250,1203
2000,1,27,2,1,5,16,30,1303
2000,8,30,1,2,3,15,97,1403
2005,8,35,1,2,3,15,220,1403
2010,8,40,1,2,3,15,250,1403
2015,8,45,1,2,3,15,400,1403
2020,8,50,1,2,3,15,480,1403
2000,1,28,1,1,3,7,70,1404
2000,1,45,2,3,2,18,60,1502
2015,5,60,2,3,2,17,120,1502
2005,5,26,1,1,4,10,100,1503
2015,5,36,1,1,4,10,350,1503
2000,1,52,2,3,2,9,89,1601
2015,1,67,2,3,2,20,40,1601
2000,1,55,1,2,2,6,64,1801
2005,1,60,1,2,2,6,40,1801
2015,1,65,2,2,2,14,100,1802
2020,1,70,2,2,2,18,150,1802
2005,1,33,2,1,4,3,150,1803
2010,1,38,2,1,4,3,200,1803
2020,1,48,2,1,4,3,300,1803
2000,1,25,2,1,5,13,50,1804
2010,1,35,2,1,5,13,100,1804
2020,1,45,2,1,5,13,200,1804
2005,1,28,1,1,3,7,120,1805
2005,1,43,1,2,2,3,150,2001
2010,1,48,1,2,2,3,200,2001
2015,1,53,1,2,2,3,200,2001
2020,1,58,1,2,2,3,400,2001
2005,1,47,2,2,3,3,100,2002
2010,1,52,2,2,3,3,150,2002
2015,1,57,2,2,3,3,200,2002
2015,1,23,1,1,3,7,38,2003
2020,1,28,1,1,3,7,130,2003
2015,1,20,1,1,3,18,140,2004
2005,1,32,2,2,3,9,70,2102
2010,8,37,2,2,2,7,92,2201
2015,8,42,2,2,2,7,110,2201
2020,8,47,2,2,2,7,120,2201
2005,8,38,1,2,3,7,150,2202
2020,8,20,1,1,4,18,91,2203
2000,1,62,2,2,2,15,50,2702
2015,1,77,2,3,2,17,20,2702
2010,1,41,1,1,2,4,200,2703
2005,1,77,1,2,2,15,12,2901
2000,1,61,1,2,2,6,120,3101
2000,1,27,1,1,3,3,70,3103
2010,1,37,1,1,3,7,200,3103
2000,1,28,1,1,3,18,60,3204
2005,1,33,1,1,3,3,150,3204
2010,1,38,1,2,3,3,155,3204
2015,1,43,2,3,3,4,148,3206
2005,1,49,1,2,3,6,80,3301
2010,1,54,1,2,3,7,170,3301
2015,1,59,1,2,3,7,190,3301
2020,1,64,1,2,3,7,200,3301
2005,1,42,2,2,2,3,120,3302
2010,1,47,2,2,2,3,100,3302
2015,1,52,2,2,2,3,150,3302
