year,p_region,p_age,p_sex,p_married,p_edu,Ind,p_wage
2000,1,59,2,2,2,3,79
2010,11,69,2,3,2,1,20
2000,1,32,1,1,3,4,98
2010,8,42,1,3,3,4,280
2015,8,47,1,3,3,4,280
2020,8,52,1,3,3,4,380
2000,1,49,1,2,3,2,190
2005,1,54,1,3,3,19,70
2010,1,59,1,3,3,14,80
2015,1,64,1,3,3,14,109
2020,1,69,1,3,3,14,150
2005,1,51,2,3,3,12,55
2010,1,56,2,3,3,12,52
2015,1,61,2,3,3,12,89
2020,1,66,2,3,3,12,120
2005,1,26,2,1,4,7,70
2010,1,31,2,1,4,7,70
2000,1,38,2,1,3,7,130
2000,1,30,1,2,5,10,240
2005,1,35,1,2,5,10,320
2010,1,40,1,2,5,10,400
2015,1,45,1,2,5,10,500
2020,1,50,1,2,5,10,500
2005,1,31,2,1,4,17,180
2000,1,65,2,2,2,9,30
2010,1,75,2,3,2,15,20
2015,1,80,2,3,2,15,20
2020,1,85,2,3,2,15,27
2000,1,76,2,3,1,15,15
2000,1,28,1,1,4,7,137
2010,1,38,1,2,4,17,210
2000,1,30,2,2,5,16,100
2005,1,35,2,2,5,16,250
2010,1,40,2,2,5,16,300
2015,1,45,2,2,5,16,550
2000,1,28,2,1,5,7,69
2000,1,46,2,3,1,20,30
2010,1,56,2,3,1,20,50
2000,1,43,1,2,2,6,58
2005,1,48,1,2,2,12,60
2010,1,53,1,2,2,12,100
2020,1,63,1,2,2,12,100
2005,1,56,2,2,2,9,100
2010,1,61,2,2,2,9,100
2020,1,71,2,2,2,9,130
2000,1,24,2,1,4,7,60
2005,1,29,2,2,5,7,150
2015,8,39,2,2,5,17,200
2020,8,44,2,2,5,17,200
2005,1,24,2,1,4,17,200
2005,1,35,1,2,5,3,230
2020,8,50,1,2,5,7,250
2000,1,27,2,1,5,16,30
2000,8,30,1,2,3,15,97
2005,8,35,1,2,3,15,220
2010,8,40,1,2,3,15,250
2015,8,45,1,2,3,15,400
2020,8,50,1,2,3,15,480
2000,1,28,1,1,3,7,70
2000,1,45,2,3,2,18,60
2015,5,60,2,3,2,17,120
2005,5,26,1,1,4,10,100
2015,5,36,1,1,4,10,350
2000,1,52,2,3,2,9,89
2015,1,67,2,3,2,20,40
2000,1,55,1,2,2,6,64
2005,1,60,1,2,2,6,40
2015,1,65,2,2,2,14,100
2020,1,70,2,2,2,18,150
2005,1,33,2,1,4,3,150
2010,1,38,2,1,4,3,200
2020,1,48,2,1,4,3,300
2000,1,25,2,1,5,13,50
2010,1,35,2,1,5,13,100
2020,1,45,2,1,5,13,200
2005,1,28,1,1,3,7,120
2005,1,43,1,2,2,3,150
2010,1,48,1,2,2,3,200
2015,1,53,1,2,2,3,200
2020,1,58,1,2,2,3,400
2005,1,47,2,2,3,3,100
2010,1,52,2,2,3,3,150
2015,1,57,2,2,3,3,200
2015,1,23,1,1,3,7,38
2020,1,28,1,1,3,7,130
2015,1,20,1,1,3,18,140
2005,1,32,2,2,3,9,70
2010,8,37,2,2,2,7,92
2015,8,42,2,2,2,7,110
2020,8,47,2,2,2,7,120
2005,8,38,1,2,3,7,150
2020,8,20,1,1,4,18,91
2000,1,62,2,2,2,15,50
2015,1,77,2,3,2,17,20
2010,1,41,1,1,2,4,200
2005,1,77,1,2,2,15,12
2000,1,61,1,2,2,6,120
2000,1,27,1,1,3,3,70
2010,1,37,1,1,3,7,200
2000,1,28,1,1,3,18,60
2005,1,33,1,1,3,3,150
2010,1,38,1,2,3,3,155
2015,1,43,2,3,3,4,148
2005,1,49,1,2,3,6,80
2010,1,54,1,2,3,7,170
2015,1,59,1,2,3,7,190
2020,1,64,1,2,3,7,200
2005,1,42,2,2,2,3,120
2010,1,47,2,2,2,3,100
2015,1,52,2,2,2,3,150
2020,1,57,2,2,2,3,180
2015,1,25,2,1,4,3,140
2020,1,30,2,1,4,10,200
2015,1,23,1,1,3,15,180
2020,1,28,1,1,3,4,220
2010,8,51,2,3,2,3,140
2015,8,56,2,3,2,3,280
2010,8,26,1,1,3,17,140
2015,8,31,1,2,3,19,190
2020,8,36,1,2,3,19,200
2010,8,22,2,1,2,18,80
2000,1,24,1,1,2,9,120
2005,1,29,1,1,2,9,150
2000,1,44,1,2,5,11,170
2005,1,49,1,2,5,11,700
2010,1,72,1,3,3,14,85
2000,1,35,1,2,4,7,150
2005,1,66,1,2,2,8,70
2010,1,71,1,2,2,11,110
2000,1,29,1,1,2,9,100
2005,1,34,1,1,2,9,100
2015,1,44,1,1,2,9,195
2020,1,49,1,1,2,10,230
2000,1,30,2,1,2,7,100
2000,1,36,1,2,2,3,100
2020,1,56,2,2,2,18,170
2015,1,64,1,2,3,19,193
2020,1,69,1,2,3,19,250
2015,1,37,2,2,5,15,540
2005,1,26,1,1,4,7,100
2010,1,29,2,1,5,13,180
2005,1,44,1,2,2,3,80
2010,1,49,1,2,2,3,150
2015,1,54,1,2,2,3,150
2020,1,59,1,2,2,3,150
2000,1,36,2,2,2,3,45
2005,1,41,2,2,2,3,80
2010,1,46,2,2,2,3,150
2005,1,21,2,1,3,7,90
2010,1,26,2,1,3,7,150
2010,1,21,2,1,3,11,130
2020,1,31,2,2,3,11,220
2000,1,26,2,1,4,10,80
2010,1,36,2,1,4,18,80
2010,11,33,1,2,5,1,245
2015,11,38,1,2,5,1,375
2020,11,43,1,2,5,1,480
2010,1,42,1,2,5,3,400
2010,1,56,1,2,2,3,150
2000,1,40,2,2,3,3,100
2005,1,45,2,2,3,3,80
2010,1,50,2,2,3,3,150
2015,1,55,2,2,3,3,120
2020,1,60,2,2,3,3,120
2020,1,25,2,1,5,16,250
2010,1,46,1,2,5,11,500
2015,1,51,1,2,5,11,800
2000,1,28,1,1,5,8,80
2005,1,33,1,2,5,8,300
2015,1,43,1,2,5,8,300
2000,8,36,1,2,5,10,200
2010,8,46,1,2,5,10,630
2015,8,51,1,2,5,10,385
2010,8,42,2,2,5,17,216
2015,8,47,2,2,5,17,282
2020,8,52,2,3,5,17,390
2000,1,44,2,3,4,9,100
2010,1,54,2,3,4,11,200
2020,1,64,2,2,4,9,200
2000,1,21,2,1,3,8,83
2005,1,26,2,1,4,8,150
2010,1,31,2,2,5,8,280
2005,1,23,2,1,4,9,48
2010,1,22,2,1,4,7,100
2015,1,27,2,1,5,9,45
2020,1,32,2,2,5,16,175
2000,1,32,1,2,3,9,150
2005,1,37,1,2,3,9,140
2020,8,31,1,1,4,3,220
2020,1,28,2,1,5,14,100
2000,1,41,2,2,5,16,120
2000,1,41,1,1,3,7,180
2010,1,80,1,2,3,3,100
2015,1,85,1,2,3,3,120
2020,1,90,1,2,3,3,137
2005,8,56,1,2,5,6,100
2005,8,52,2,2,2,12,60
2005,1,68,1,2,2,14,70
2000,1,64,2,2,2,14,58
2005,1,69,2,2,2,12,62
